Object Number,Object LOC,LOC/Method
1,26,8.67
2,39,7.80
3,26,8.67
4,53,7.57
5,17,5.67
6,26,8.67
7,22,7.33
8,53,8.83
9,31,10.33
10,18,6.00
11,25,8.33
12,30,7.50
13,42,14.00
14,45,9.00
15,40,10.00
16,195,39.00
17,114,38.00
18,87,21.75
19,87,29.00
20,25,8.33
21,53,13.25
22,47,11.75
23,58,5.80
24,49,7.00
25,88,14.67
26,82,16.40
27,46,5.75
28,55,13.75
29,32,10.67
30,18,6.00
31,89,29.67
32,18,6.00
33,36,12.00
34,161,40.25
35,112,37.33
36,89,22.25
37,85,28.33
38,82,20.50
39,82,16.40
40,46,7.67
41,184,36.80
42,145,24.17
43,96,19.20
44,123,41.00
45,211,30.14
46,405,50.63
47,58,14.50
48,264,52.80
49,58,19.33
50,305,25.42
